"Policy","Version","Reference ID","Type","Evaluation type","Default effect"
"/providers/microsoft.authorization/policydefinitions/84509667-1a94-4255-9e5f-b479075c1069","1.*.*","dbforpostgresql-servergroupsv2","","",""
"/providers/microsoft.authorization/policydefinitions/bbdbb83b-cbfe-49f7-b7d1-1126630a68b7","1.*.*","dbforpostgresql-servers","","",""
"/providers/microsoft.authorization/policydefinitions/99b3bfad-aef0-476d-ae98-40861f8eae22","1.*.*","desktopvirtualization-applicationgroups","","",""
"/providers/microsoft.authorization/policydefinitions/a7c668bd-3327-474f-8fb5-8146e3e40e40","1.*.*","desktopvirtualization-hostpools","","",""
"/providers/microsoft.authorization/policydefinitions/8ea88471-98e1-47e4-9f63-838c990ba2f4","1.*.*","desktopvirtualization-scalingplans","","",""
"/providers/microsoft.authorization/policydefinitions/867c08d5-bc47-404d-9a1b-0aec7a8d34eb","1.*.*","desktopvirtualization-workspaces","","",""
"/providers/microsoft.authorization/policydefinitions/82b076b9-2062-4516-ae4c-37b1890eabb2","1.*.*","devcenter-devcenters","","",""
"/providers/microsoft.authorization/policydefinitions/614d9fbd-68cd-4832-96db-3362069661b2","1.*.*","devices-iothubs","","",""
"/providers/microsoft.authorization/policydefinitions/041e904a-33e5-45fd-b3f6-4ac95f1f8761","1.*.*","devices-provisioningservices","","",""
"/providers/microsoft.authorization/policydefinitions/4c9cd884-3e45-4588-ac9d-00d44be2cbcd","1.*.*","digitaltwins-digitaltwinsinstances","","",""
"/providers/microsoft.authorization/policydefinitions/ae0fc3d3-c9ce-43e8-923a-a143db56d81e","1.*.*","documentdb-cassandraclusters","","",""
"/providers/microsoft.authorization/policydefinitions/68ba9fc9-71b9-4e6f-9cf5-ecc07722324c","1.*.*","documentdb-databaseaccounts","","",""
"/providers/microsoft.authorization/policydefinitions/064a3695-3197-4354-816b-65c7b952db9e","1.*.*","documentdb-mongoclusters","","",""
"/providers/microsoft.authorization/policydefinitions/b90ec596-faa6-4c61-9515-34085703e260","1.*.*","eventgrid-domains","","",""
"/providers/microsoft.authorization/policydefinitions/3496f6fd-57ba-485c-8a14-183c4493b781","1.*.*","eventgrid-partnernamespaces","","",""
"/providers/microsoft.authorization/policydefinitions/e1bf4d43-542a-4410-918d-7e61c8e1ac21","1.*.*","eventgrid-partnertopics","","",""
"/providers/microsoft.authorization/policydefinitions/0fff3e39-f422-45b0-b497-33a05b996d3e","1.*.*","eventgrid-systemtopics","","",""
"/providers/microsoft.authorization/policydefinitions/46b2dd5d-3936-4347-8908-b298ea4466d3","1.*.*","eventgrid-topics","","",""
"/providers/microsoft.authorization/policydefinitions/441af8bf-7c88-4efc-bd24-b7be28d4acce","1.*.*","eventhub-namespaces","","",""
"/providers/microsoft.authorization/policydefinitions/0ba93a1b-ac4d-4e7b-976a-548a18be1e52","1.*.*","experimentation-experimentworkspaces","","",""
"/providers/microsoft.authorization/policydefinitions/e25bcb29-0412-42c3-a526-1ff794310a1e","1.*.*","healthcareapis-services","","",""
"/providers/microsoft.authorization/policydefinitions/f0d25196-1ea4-49e1-ad53-ccada27b4862","1.*.*","healthcareapis-workspaces-dicomservices","","",""
"/providers/microsoft.authorization/policydefinitions/eb2fea88-fa7b-4531-a4c1-428c618fbcc8","1.*.*","healthcareapis-workspaces-fhirservices","","",""
"/providers/microsoft.authorization/policydefinitions/557c828f-aa51-40d9-868a-cff8d3982818","1.*.*","healthcareapis-workspaces-iotconnectors","","",""
"/providers/microsoft.authorization/policydefinitions/30499756-47d6-493c-9e57-ee3db2d9fa96","1.*.*","insights-autoscalesettings","","",""
"/providers/microsoft.authorization/policydefinitions/79494980-ea12-4ca1-8cca-317e942b6da2","1.*.*","insights-components","","",""
"/providers/microsoft.authorization/policydefinitions/7e87b2cc-1e49-4e07-a651-a2f38d4667ad","1.*.*","insights-datacollectionrules","","",""
